SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
30.76,13.00,979.21,27.36,1000.000000,1000.000000,0.00,3287,439,138,,
30.71,13.00,979.15,27.36,1000.000000,1000.000000,0.00,3287,439,138,,
30.69,13.00,979.16,27.36,1000.000000,1000.000000,0.00,2068,254,138,,
30.65,13.00,979.23,27.36,1000.000000,1000.000000,0.00,975,87,138,,
30.60,13.00,979.19,27.36,1000.000000,1000.000000,0.00,975,87,138,,
30.58,13.00,979.22,27.36,1000.000000,1000.000000,0.00,873,72,139,,
30.56,13.00,979.21,27.36,1000.000000,1000.000000,25.50,799,60,139,00/00/2000 00:00:00 ,
30.57,13.00,979.26,27.36,0.000000,0.000000,25.50,799,60,139,00/00/2000 00:00:00 ,
30.56,13.00,979.18,27.36,0.000000,0.000000,25.50,811,62,139,00/00/2000 00:00:00 ,
30.56,13.00,979.20,27.36,0.000000,0.000000,25.50,811,62,139,00/00/2000 00:00:00 ,
30.52,13.00,979.13,27.36,0.000000,0.000000,25.50,747,52,139,00/00/2000 00:00:00 ,
30.51,13.00,979.18,27.36,0.000000,0.000000,25.50,747,52,139,00/00/2000 00:00:00 ,
30.51,13.00,979.24,27.36,0.000000,0.000000,25.50,697,45,139,00/00/2000 00:00:00 ,
30.49,13.00,979.14,27.36,0.000000,0.000000,25.50,697,45,139,00/00/2000 00:00:00 ,
30.48,13.00,979.22,28.13,0.000000,0.000000,25.50,707,46,140,00/00/2000 00:00:00 ,
30.48,13.00,979.20,28.13,0.000000,0.000000,25.50,707,46,140,00/00/2000 00:00:00 ,
30.47,13.00,979.18,28.13,0.000000,0.000000,25.50,707,46,140,00/00/2000 00:00:00 ,
30.47,13.00,979.23,28.13,0.000000,0.000000,25.50,709,47,140,00/00/2000 00:00:00 ,
30.46,13.00,979.15,28.13,0.000000,0.000000,25.50,709,47,140,00/00/2000 00:00:00 ,
30.46,13.00,979.19,28.13,0.000000,0.000000,25.50,2598,334,141,00/00/2000 00:00:00 ,
30.45,13.00,979.17,28.13,0.000000,0.000000,25.50,2598,334,141,00/00/2000 00:00:00 ,
30.46,13.00,979.24,28.13,0.000000,0.000000,25.50,2598,334,141,00/00/2000 00:00:00 ,
30.46,13.00,979.24,28.13,0.000000,0.000000,25.50,7257,1044,141,00/00/2000 00:00:00 ,
30.46,13.00,979.18,28.13,0.000000,0.000000,25.50,7257,1044,141,00/00/2000 00:00:00 ,
30.45,13.00,979.24,28.13,0.000000,0.000000,25.50,2571,330,143,00/00/2000 00:00:00 ,
30.44,13.00,979.17,28.13,0.000000,0.000000,25.50,2571,330,143,00/00/2000 00:00:00 ,
30.46,13.00,979.23,28.13,0.000000,0.000000,25.50,2571,330,143,00/00/2000 00:00:00 ,
30.47,13.00,979.21,28.13,0.000000,0.000000,25.50,3324,445,143,00/00/2000 00:00:00 ,
30.49,13.00,979.21,28.13,0.000000,0.000000,25.50,3324,445,143,00/00/2000 00:00:00 ,
30.49,13.00,979.20,28.13,0.000000,0.000000,25.50,3642,493,143,00/00/2000 00:00:00 ,
30.50,13.00,979.21,28.13,0.000000,0.000000,25.50,3642,493,143,00/00/2000 00:00:00 ,
30.51,13.00,979.19,28.13,0.000000,0.000000,25.50,1359,146,143,00/00/2000 00:00:00 ,
30.52,13.00,979.21,28.13,0.000000,0.000000,25.50,1359,146,143,00/00/2000 00:00:00 ,
30.51,13.00,979.19,28.13,0.000000,0.000000,25.50,1359,146,143,00/00/2000 00:00:00 ,
30.52,13.00,979.20,28.13,0.000000,0.000000,25.50,3741,508,143,00/00/2000 00:00:00 ,
30.53,13.00,979.17,28.13,0.000000,0.000000,25.50,3741,508,143,00/00/2000 00:00:00 ,
30.53,13.00,979.15,28.13,0.000000,0.000000,25.50,7992,1156,144,00/00/2000 00:00:00 ,
30.55,13.00,979.21,28.13,0.000000,0.000000,25.50,7992,1156,144,00/00/2000 00:00:00 ,
30.55,13.00,979.24,28.13,0.000000,0.000000,25.50,7992,1156,144,00/00/2000 00:00:00 ,
30.53,13.00,979.15,28.13,0.000000,0.000000,25.50,7992,1156,144,00/00/2000 00:00:00 ,
30.55,13.00,979.21,28.13,0.000000,0.000000,25.50,7992,1156,144,00/00/2000 00:00:00 ,
30.55,13.00,979.18,28.13,0.000000,0.000000,25.50,4888,683,146,00/00/2000 00:00:00 ,
30.58,13.00,979.18,28.13,0.000000,0.000000,25.50,4888,683,146,00/00/2000 00:00:00 ,
30.60,13.00,979.14,28.13,0.000000,0.000000,25.50,7992,1156,146,00/00/2000 00:00:00 ,
30.62,13.00,979.15,28.13,0.000000,0.000000,25.50,7992,1156,146,00/00/2000 00:00:00 ,
30.65,13.00,979.17,28.13,0.000000,0.000000,25.50,7992,1156,148,00/00/2000 00:00:00 ,
30.68,13.00,979.18,28.13,0.000000,0.000000,25.50,7992,1156,148,00/00/2000 00:00:00 ,
30.69,13.00,979.14,28.13,0.000000,0.000000,25.50,7992,1156,148,00/00/2000 00:00:00 ,
30.70,13.00,979.18,28.13,0.000000,0.000000,25.50,7992,1156,148,00/00/2000 00:00:00 ,
30.71,13.00,979.15,28.13,0.000000,0.000000,25.50,7992,1156,148,00/00/2000 00:00:00 ,
30.72,13.00,979.20,28.13,0.000000,0.000000,25.50,7992,1156,149,00/00/2000 00:00:00 ,
30.73,13.00,979.15,28.13,0.000000,0.000000,25.50,7992,1156,149,00/00/2000 00:00:00 ,
