SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
27.59,20.00,980.05,25.18,0.000000,0.000000,0.00,690,44,112,00/00/2000 00:00:00 ,
27.59,20.00,979.99,25.18,0.000000,0.000000,0.00,636,35,112,00/00/2000 00:00:00 ,
27.59,20.00,980.05,25.18,0.000000,0.000000,0.00,636,35,112,00/00/2000 00:00:00 ,
27.60,20.00,980.03,25.18,0.000000,0.000000,0.00,636,35,112,00/00/2000 00:00:00 ,
27.59,20.00,980.01,25.18,0.000000,0.000000,0.00,746,52,112,00/00/2000 00:00:00 ,
27.60,20.00,979.99,25.18,0.000000,0.000000,0.00,746,52,112,00/00/2000 00:00:00 ,
27.60,19.00,980.02,26.06,0.000000,0.000000,0.00,650,38,112,00/00/2000 00:00:00 ,
27.59,19.00,979.97,26.06,0.000000,0.000000,0.00,650,38,112,00/00/2000 00:00:00 ,
27.59,19.00,979.98,26.06,0.000000,0.000000,0.00,1071,102,112,00/00/2000 00:00:00 ,
27.60,19.00,980.06,26.06,0.000000,0.000000,0.00,1071,102,112,00/00/2000 00:00:00 ,
27.59,19.00,980.02,26.06,0.000000,0.000000,0.00,1071,102,112,00/00/2000 00:00:00 ,
27.60,19.00,980.05,26.06,0.000000,0.000000,0.00,711,47,112,00/00/2000 00:00:00 ,
27.59,19.00,980.02,26.06,0.000000,0.000000,0.00,711,47,112,00/00/2000 00:00:00 ,
27.60,19.00,979.98,26.06,0.000000,0.000000,0.00,599,30,112,00/00/2000 00:00:00 ,
27.60,19.00,980.03,26.06,0.000000,0.000000,0.00,599,30,112,00/00/2000 00:00:00 ,
27.61,19.00,980.00,26.06,0.000000,0.000000,0.00,599,30,112,00/00/2000 00:00:00 ,
27.60,19.00,980.01,26.06,0.000000,0.000000,0.00,445,6,112,00/00/2000 00:00:00 ,
27.60,19.00,980.06,26.06,0.000000,0.000000,0.00,445,6,112,00/00/2000 00:00:00 ,
27.62,19.00,980.01,26.06,0.000000,0.000000,0.00,1078,103,112,00/00/2000 00:00:00 ,
27.62,19.00,980.07,26.06,0.000000,0.000000,0.00,1078,103,112,00/00/2000 00:00:00 ,
27.62,19.00,980.00,26.06,0.000000,0.000000,0.00,1078,103,112,00/00/2000 00:00:00 ,
27.61,19.00,980.03,26.06,0.000000,0.000000,0.00,1858,222,112,00/00/2000 00:00:00 ,
27.62,19.00,980.04,26.06,0.000000,0.000000,0.00,1858,222,112,00/00/2000 00:00:00 ,
27.61,19.00,980.03,26.06,0.000000,0.000000,0.00,2090,257,112,00/00/2000 00:00:00 ,
27.62,19.00,980.04,26.06,0.000000,0.000000,0.00,2090,257,112,00/00/2000 00:00:00 ,
27.60,19.00,979.95,26.06,0.000000,0.000000,0.00,781,58,112,00/00/2000 00:00:00 ,
27.60,19.00,980.04,26.06,0.000000,0.000000,0.00,781,58,112,00/00/2000 00:00:00 ,
27.61,19.00,980.08,26.06,0.000000,0.000000,0.00,496,14,112,00/00/2000 00:00:00 ,
27.60,19.00,979.94,26.06,0.000000,0.000000,0.00,496,14,112,00/00/2000 00:00:00 ,
