SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
29.39,14.00,978.98,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.40,14.00,978.96,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.39,14.00,978.97,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.37,14.00,978.92,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.38,14.00,978.91,26.63,1000.000000,1000.000000,0.00,400,0,119,,
29.38,14.00,978.84,26.63,1000.000000,1000.000000,0.00,404,0,118,,
29.38,14.00,978.91,26.63,1000.000000,1000.000000,0.00,404,0,118,,
29.38,14.00,978.99,26.63,1000.000000,1000.000000,0.00,400,0,118,,
29.38,14.00,978.92,26.63,1000.000000,1000.000000,0.00,400,0,118,,
29.40,14.00,978.96,26.63,1000.000000,1000.000000,0.00,7992,1156,118,,
29.41,14.00,978.93,26.63,1000.000000,1000.000000,0.00,7992,1156,118,,
29.41,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,118,,
29.41,14.00,978.92,26.63,1000.000000,1000.000000,0.00,2090,257,118,,
29.41,14.00,978.93,26.63,1000.000000,1000.000000,0.00,2068,254,118,,
29.43,14.00,978.91,26.63,1000.000000,1000.000000,0.00,5040,706,118,,
29.42,14.00,978.92,26.63,1000.000000,1000.000000,0.00,5040,706,118,,
29.43,14.00,978.87,26.63,1000.000000,1000.000000,0.00,1395,151,118,,
29.43,14.00,978.84,26.63,1000.000000,1000.000000,0.00,1295,136,118,,
29.43,14.00,978.89,26.63,1000.000000,1000.000000,0.00,7992,1156,118,,
29.44,14.00,978.87,26.63,1000.000000,1000.000000,0.00,7992,1156,118,,
29.44,14.00,978.95,26.63,1000.000000,1000.000000,0.00,7992,1156,117,,
29.44,14.00,978.90,26.63,1000.000000,1000.000000,0.00,7992,1156,117,,
29.45,14.00,978.87,26.63,1000.000000,1000.000000,0.00,7174,1031,117,,
29.45,14.00,978.92,26.63,1000.000000,1000.000000,0.00,7992,1156,117,,
29.47,14.00,978.92,26.63,1000.000000,1000.000000,0.00,7992,1156,117,,
29.46,14.00,978.86,26.63,1000.000000,1000.000000,0.00,4052,556,117,,
29.47,14.00,978.93,26.63,1000.000000,1000.000000,0.00,7524,1085,116,,
29.49,14.00,978.91,26.63,1000.000000,1000.000000,0.00,7524,1085,116,,
29.49,14.00,978.85,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.50,14.00,978.85,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.50,14.00,978.83,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.50,14.00,978.90,26.63,1000.000000,1000.000000,0.00,7992,1156,116,,
29.51,14.00,978.91,26.63,1000.000000,1000.000000,0.00,4052,556,116,,
