SEP=,
------------------------------------------------ INICIO DE LA TOMA DE DATOS -------------------------------------------------
Temperatura,Humedad,Presion,Indice de calor,Latitud,Longitud,Altitud,Nivel de CO2 PPM,Niveles de TVOC PPB,Temperatura reportada por el CCS,Fecha/hora de la muestra,
28.49,19.00,979.90,26.06,1000.000000,1000.000000,0.00,1558,176,114,,
28.46,19.00,979.82,26.06,1000.000000,1000.000000,0.00,1107,107,114,,
28.46,19.00,979.89,26.06,1000.000000,1000.000000,0.00,990,89,114,,
28.45,18.00,979.95,26.03,1000.000000,1000.000000,0.00,909,77,114,,
28.43,18.00,979.92,26.03,1000.000000,1000.000000,0.00,909,77,114,,
28.42,18.00,979.97,26.03,1000.000000,1000.000000,0.00,804,61,114,,
28.41,19.00,979.94,26.06,1000.000000,1000.000000,0.00,826,64,115,,
28.40,19.00,979.92,26.06,1000.000000,1000.000000,0.00,826,64,115,,
28.40,19.00,979.94,26.06,1000.000000,1000.000000,0.00,738,51,115,,
28.39,19.00,979.89,26.06,1000.000000,1000.000000,0.00,690,44,115,,
28.37,19.00,979.93,26.06,1000.000000,1000.000000,0.00,748,53,116,,
28.36,19.00,979.89,26.06,1000.000000,1000.000000,0.00,748,53,116,,
28.34,19.00,979.92,26.06,1000.000000,1000.000000,0.00,820,63,116,,
28.34,19.00,979.92,26.06,1000.000000,1000.000000,0.00,990,89,117,,
28.36,19.00,979.90,26.06,1000.000000,1000.000000,0.00,822,64,117,,
28.34,19.00,979.84,26.06,1000.000000,1000.000000,0.00,643,37,116,,
28.33,19.00,979.90,26.06,1000.000000,1000.000000,0.00,643,37,116,,
28.31,19.00,979.94,26.06,1000.000000,1000.000000,0.00,599,30,117,,
28.31,20.00,979.92,26.09,1000.000000,1000.000000,0.00,576,26,117,,
28.29,20.00,979.88,26.09,1000.000000,1000.000000,0.00,574,26,117,,
28.29,20.00,979.86,26.09,1000.000000,1000.000000,0.00,574,26,117,,
28.29,19.00,979.91,26.06,1000.000000,1000.000000,0.00,876,72,117,,
28.30,19.00,979.92,26.06,1000.000000,1000.000000,0.00,1235,127,118,,
28.45,19.00,979.92,26.06,1000.000000,1000.000000,0.00,1046,98,118,,
28.45,19.00,979.92,26.06,1000.000000,1000.000000,0.00,1522,170,118,,
28.40,19.00,979.85,26.06,1000.000000,1000.000000,0.00,1522,170,118,,
28.37,19.00,979.86,26.06,1000.000000,1000.000000,0.00,2975,392,120,,
28.36,19.00,979.90,26.06,1000.000000,1000.000000,0.00,1634,187,119,,
28.31,19.00,979.90,26.06,1000.000000,1000.000000,0.00,1634,187,119,,
28.29,19.00,979.90,26.06,1000.000000,1000.000000,0.00,890,74,119,,
28.27,19.00,979.90,26.06,1000.000000,1000.000000,0.00,641,36,119,,
28.24,19.00,979.91,26.06,1000.000000,1000.000000,0.00,573,26,120,,
28.22,19.00,979.87,26.06,1000.000000,1000.000000,0.00,573,26,120,,
28.22,19.00,979.91,26.06,1000.000000,1000.000000,0.00,536,20,119,,
28.24,19.00,979.93,26.06,1000.000000,1000.000000,0.00,515,17,120,,
28.25,19.00,979.91,26.06,1000.000000,1000.000000,0.00,522,18,120,,
28.24,19.00,979.83,26.06,1000.000000,1000.000000,0.00,495,14,120,,
28.26,19.00,979.92,26.06,1000.000000,1000.000000,0.00,495,14,120,,
28.27,19.00,979.87,26.06,1000.000000,1000.000000,0.00,4347,601,120,,
28.28,19.00,979.92,26.06,1000.000000,1000.000000,0.00,1369,147,119,,
28.27,19.00,979.85,26.06,1000.000000,1000.000000,0.00,736,51,120,,
28.27,19.00,979.83,26.06,1000.000000,1000.000000,0.00,736,51,120,,
28.28,19.00,979.86,26.06,1000.000000,1000.000000,0.00,680,42,120,,
28.28,19.00,979.83,26.06,1000.000000,1000.000000,0.00,1173,117,120,,
28.36,19.00,979.87,26.06,1000.000000,1000.000000,0.00,1305,137,120,,
28.37,19.00,979.80,26.06,1000.000000,1000.000000,0.00,854,69,120,,
28.36,19.00,979.87,26.06,1000.000000,1000.000000,0.00,854,69,120,,
28.36,19.00,979.85,26.06,1000.000000,1000.000000,0.00,645,37,120,,
28.35,19.00,979.89,26.06,1000.000000,1000.000000,0.00,576,26,121,,
